Date,Open,High,Low,Close,Change%,Volume,Adj Close,Market
2016-11-17,109.809998,110.349998,108.830002,109.949997,0.139999000000003,26964600,109.949997,High
2016-11-16,106.699997,110.230003,106.599998,109.989998,3.290001,58702500,109.989998,High
2016-11-15,106.57,107.68,106.160004,107.110001,0.540001000000004,32216900,107.110001,High
2016-11-14,107.709999,107.809998,104.080002,105.709999,-2,50872500,105.709999,Low
2016-11-11,107.120003,108.870003,106.550003,108.43,1.30999700000001,34094100,108.43,High
2016-11-10,111.089996,111.089996,105.830002,107.790001,-3.299995,57134500,107.790001,Low
2016-11-09,109.879997,111.32,108.050003,110.879997,1,59176400,110.879997,High
2016-11-08,110.309998,111.720001,109.699997,111.059998,0.75,24054500,111.059998,High
2016-11-07,110.080002,110.510002,109.459999,110.410004,0.330002000000007,32560000,110.410004,High
2016-11-04,108.529999,110.25,108.110001,108.839996,0.309996999999996,30837000,108.839996,High
2016-11-03,110.980003,111.459999,109.550003,109.830002,-1.150001,26932600,109.830002,Low
2016-11-02,111.400002,112.349998,111.230003,111.589996,0.189993999999999,28331700,111.019995,High
2016-11-01,113.459999,113.769997,110.529999,111.489998,-1.970001,43825800,110.920507,Low
2016-10-31,113.650002,114.230003,113.199997,113.540001,-0.110000999999997,26419400,112.960039,Low
2016-10-28,113.870003,115.209999,113.449997,113.720001,-0.150002000000001,37861700,113.13912,Low
2016-10-27,115.389999,115.860001,114.099998,114.480003,-0.909996000000007,34562000,113.89524,Low
2016-10-26,114.309998,115.699997,113.309998,115.589996,1.27999800000001,66134200,114.999563,High
2016-10-25,117.949997,118.360001,117.309998,118.25,0.300003000000004,48129000,117.645979,High
2016-10-24,117.099998,117.739998,117,117.650002,0.550004000000001,23538700,117.049045,High
2016-10-21,116.809998,116.910004,116.279999,116.599998,-0.209999999999994,23192700,116.004406,Low
2016-10-20,116.860001,117.379997,116.330002,117.059998,0.199996999999996,24125800,116.462055,High
2016-10-19,117.25,117.760002,113.800003,117.120003,-0.129997000000003,20034600,116.521754,Low
2016-10-18,118.18,118.209999,117.449997,117.470001,-0.70999900000001,24553500,116.869965,Low
2016-10-17,117.330002,117.839996,116.779999,117.550003,0.220001000000011,23624900,116.949558,High
2016-10-14,117.879997,118.169998,117.129997,117.629997,-0.25,35652200,117.029143,Low
2016-10-13,116.790001,117.440002,115.720001,116.980003,0.190001999999993,35192400,116.38247,High
2016-10-12,117.349998,117.980003,116.75,117.339996,-0.0100020000000001,37586800,116.740624,Low
2016-10-11,117.699997,118.690002,116.199997,116.300003,-1.39999399999999,64041000,115.705943,Low
2016-10-10,115.019997,116.75,114.720001,116.050003,1.030006,36236000,115.45722,High
2016-10-07,114.309998,114.559998,113.510002,114.059998,-0.25,24358400,113.477379,Low
2016-10-06,113.699997,114.339996,113.129997,113.889999,0.190002000000007,28779300,113.308249,High
2016-10-05,113.400002,113.660004,112.690002,113.050003,-0.349998999999997,21453100,112.472544,Low
2016-10-04,113.059998,114.309998,112.629997,113,-0.0599979999999931,29736800,112.422796,Low
2016-10-03,112.709999,113.050003,112.279999,112.519997,-0.190001999999993,21701800,111.945245,Low
2016-09-30,112.459999,113.370003,111.800003,113.050003,0.590004000000008,36379100,112.472544,High
2016-09-29,113.160004,113.800003,111.800003,112.18,-0.980003999999994,35887000,111.606985,Low
2016-09-28,113.690002,114.639999,113.43,113.949997,0.259994999999989,29641100,113.36794,High
2016-09-27,113,113.18,112.339996,113.089996,0.0899959999999993,24607400,112.512333,High
2016-09-26,111.639999,113.389999,111.550003,112.879997,1.239998,29869400,112.303406,High
2016-09-23,114.419998,114.790001,111.550003,112.709999,-1.70999900000001,52481200,112.134277,Low
2016-09-22,114.349998,114.940002,114,114.620003,0.270004999999998,31074000,114.034524,High
2016-09-21,113.849998,113.989998,112.440002,113.550003,-0.299994999999996,36003200,112.96999,Low
2016-09-20,113.050003,114.120003,112.510002,113.57,0.519996999999989,34514300,112.989884,High
2016-09-19,115.190002,116.18,113.25,113.580002,-1.61000000000001,47023000,112.999835,Low
2016-09-16,115.120003,116.129997,114.040001,114.919998,-0.20000499999999,79886900,114.332987,Low
2016-09-15,113.860001,115.730003,113.489998,115.57,1.709999,89983600,114.979668,High
2016-09-14,108.730003,113.029999,108.599998,111.769997,3.03999400000001,110888700,111.199076,High
2016-09-13,107.510002,108.790001,107.239998,107.949997,0.439994999999996,62176200,107.398588,High
2016-09-12,102.650002,105.720001,102.529999,105.440002,2.79000000000001,45292800,104.901415,High
2016-09-09,104.639999,105.720001,103.129997,103.129997,-1.510002,46557000,102.603209,Low
2016-09-08,107.25,107.269997,105.239998,105.519997,-1.730003,53002000,104.981001,Low
2016-09-07,107.830002,108.760002,107.07,108.360001,0.529999000000004,42364300,107.806498,High
2016-09-06,107.900002,108.300003,107.510002,107.699997,-0.200005000000004,26880400,107.149865,Low
2016-09-02,107.699997,108,106.82,107.730003,0.0300060000000002,26802500,107.179719,High
2016-09-01,106.139999,106.800003,105.620003,106.730003,0.590003999999993,26701500,106.184827,High
2016-08-31,105.660004,106.57,105.639999,106.099998,0.439993999999999,29662400,105.55804,High
2016-08-30,105.800003,106.5,105.5,106,0.199996999999996,24863900,105.458552,High
2016-08-29,106.620003,107.440002,106.290001,106.82,0.199996999999996,24970300,106.274363,High
2016-08-26,107.410004,107.949997,106.309998,106.940002,-0.470001999999994,27766300,106.393753,Low
2016-08-25,107.389999,107.879997,106.68,107.57,0.18000099999999,25086200,107.020532,High
2016-08-24,108.57,108.75,107.68,108.029999,-0.54000099999999,23675100,107.478182,Low
2016-08-23,108.589996,109.32,108.529999,108.849998,0.260002,21257700,108.293993,High
