FY=1,FY=2,FY=3,FY=4,FY=5,Open,High,Low,Close,Volume,'Adj Close',Market
0,0,0,0,1,109.169998,110.089996,108.849998,109.900002,26409800,109.900002,1
0,0,0,0,1,110.370003,110.940002,109.029999,109.489998,36825800,109.489998,0
0,0,0,0,1,111.599998,112.199997,110.269997,110.519997,35765000,110.519997,0
0,0,0,0,1,110.779999,112.029999,110.07,111.459999,28459300,111.459999,1
0,0,0,0,1,111.43,112.470001,111.389999,111.57,27026600,111.57,1
0,0,0,0,1,111.129997,111.870003,110.949997,111.790001,11424400,111.790001,1
0,0,0,0,1,111.360001,111.510002,110.330002,111.230003,27387900,111.230003,0
0,0,0,0,1,111.949997,112.419998,111.400002,111.800003,25922600,111.800003,0
0,0,0,0,1,110.120003,111.989998,110.010002,111.730003,29119100,111.730003,1
0,0,0,0,1,109.720001,110.540001,109.660004,110.059998,27404300,110.059998,1
0,0,0,0,1,109.809998,110.349998,108.830002,109.949997,26964600,109.949997,1
0,0,0,0,1,106.699997,110.230003,106.599998,109.989998,58702500,109.989998,1
0,0,0,0,1,106.57,107.68,106.160004,107.110001,32216900,107.110001,1
0,0,0,0,1,107.709999,107.809998,104.080002,105.709999,50872500,105.709999,0
0,0,0,0,1,107.120003,108.870003,106.550003,108.43,34094100,108.43,1
0,0,0,0,1,111.089996,111.089996,105.830002,107.790001,57134500,107.790001,0
0,0,0,0,1,109.879997,111.32,108.050003,110.879997,59176400,110.879997,1
0,0,0,0,1,110.309998,111.720001,109.699997,111.059998,24054500,111.059998,1
0,0,0,0,1,110.080002,110.510002,109.459999,110.410004,32560000,110.410004,1
0,0,0,0,1,108.529999,110.25,108.110001,108.839996,30837000,108.839996,1
0,0,0,0,1,110.980003,111.459999,109.550003,109.830002,26932600,109.830002,0
0,0,0,0,1,111.400002,112.349998,111.230003,111.589996,28331700,111.019995,1
0,0,0,0,1,113.459999,113.769997,110.529999,111.489998,43825800,110.920507,0
0,0,0,0,1,113.650002,114.230003,113.199997,113.540001,26419400,112.960039,0
0,0,0,0,1,113.870003,115.209999,113.449997,113.720001,37861700,113.13912,0
0,0,0,0,1,115.389999,115.860001,114.099998,114.480003,34562000,113.89524,0
0,0,0,0,1,114.309998,115.699997,113.309998,115.589996,66134200,114.999563,1
0,0,0,0,1,117.949997,118.360001,117.309998,118.25,48129000,117.645979,1
